id,replenish_method,variability_id/id,item_type,lead_time_id/id
stock_buffer_profile_replenish_purchased_short_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_manufactured_short_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_distributed_short_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_purchased_short_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_manufactured_short_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_distributed_short_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_purchased_short_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_manufactured_short_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_distributed_short_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_purchased_medium_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_manufactured_medium_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_distributed_medium_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_purchased_medium_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_manufactured_medium_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_distributed_medium_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_purchased_medium_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_manufactured_medium_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_distributed_medium_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_purchased_long_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_manufactured_long_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_distributed_long_low,Replenished,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_purchased_long_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_manufactured_long_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_distributed_long_medium,Replenished,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_purchased_long_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_manufactured_long_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_distributed_long_high,Replenished,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_purchased_short_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_manufactured_short_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_distributed_short_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_purchased_short_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_manufactured_short_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_distributed_short_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_purchased_short_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_manufactured_short_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_distributed_short_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_min_max_purchased_medium_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_manufactured_medium_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_distributed_medium_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_purchased_medium_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_manufactured_medium_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_distributed_medium_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_purchased_medium_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_manufactured_medium_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_distributed_medium_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_min_max_purchased_long_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_manufactured_long_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_distributed_long_low,Min-max,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_purchased_long_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_manufactured_long_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_distributed_long_medium,Min-max,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_purchased_long_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_manufactured_long_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_min_max_distributed_long_high,Min-max,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_purchased_short_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_manufactured_short_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_distributed_short_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_purchased_short_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_manufactured_short_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_distributed_short_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_purchased_short_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_manufactured_short_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_distributed_short_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_short
stock_buffer_profile_replenish_override_purchased_medium_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_manufactured_medium_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_distributed_medium_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_purchased_medium_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_manufactured_medium_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_distributed_medium_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_purchased_medium_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_manufactured_medium_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_distributed_medium_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_medium
stock_buffer_profile_replenish_override_purchased_long_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_manufactured_long_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_distributed_long_low,Replenished Override,ddmrp.stock_buffer_profile_variability_low,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_purchased_long_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_manufactured_long_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_distributed_long_medium,Replenished Override,ddmrp.stock_buffer_profile_variability_medium,Distributed,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_purchased_long_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Purchased,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_manufactured_long_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Manufactured,ddmrp.stock_buffer_profile_lead_time_long
stock_buffer_profile_replenish_override_distributed_long_high,Replenished Override,ddmrp.stock_buffer_profile_variability_high,Distributed,ddmrp.stock_buffer_profile_lead_time_long
